month,year,temperature,dewpoint,windspeed,Soilwater_L1,Precipitation,field,temperature_b1,temperature_b2,temperature_b3,temperature_b4,temperature_b5,temperature_b6,temperature_b7,temperature_b8,temperature_b9,temperature_b10,temperature_b11,temperature_b12,dewpoint_b1,dewpoint_b2,dewpoint_b3,dewpoint_b4,dewpoint_b5,dewpoint_b6,dewpoint_b7,dewpoint_b8,dewpoint_b9,dewpoint_b10,dewpoint_b11,dewpoint_b12,windspeed_b1,windspeed_b2,windspeed_b3,windspeed_b4,windspeed_b5,windspeed_b6,windspeed_b7,windspeed_b8,windspeed_b9,windspeed_b10,windspeed_b11,windspeed_b12,Soilwater_L1_b1,Soilwater_L1_b2,Soilwater_L1_b3,Soilwater_L1_b4,Soilwater_L1_b5,Soilwater_L1_b6,Soilwater_L1_b7,Soilwater_L1_b8,Soilwater_L1_b9,Soilwater_L1_b10,Soilwater_L1_b11,Soilwater_L1_b12,Precipitation_b1,Precipitation_b2,Precipitation_b3,Precipitation_b4,Precipitation_b5,Precipitation_b6,Precipitation_b7,Precipitation_b8,Precipitation_b9,Precipitation_b10,Precipitation_b11,Precipitation_b12,Soilwater_L2,Soilwater_L3,Soilwater_L4,Id,age,type,production,date
4,2007,26.553,25.051,1.8929,0.36094,454.07,0,26.147,26.198,29.083,28.852,28.427,29.143,28.251,27.636,27.156,26.598,26.171,25.978,24.591,24.294,23.677,22.782,23.159,22.787,23.334,23.897,24.049,24.204,24.843,24.882,1.9766,2.2544,2.4876,2.41,2.1827,2.4335,2.2166,2.0829,1.8849,1.6346,1.6832,1.5105,0.35022,0.32402,0.25329,0.24324,0.26171,0.2477,0.27897,0.30444,0.3193,0.34246,0.36109,0.36575,527.69,543.37,161.52,239.74,144.26,127.15,129.82,120.66,111.16,94.03,349.06,516.34,,,,39.0,22.0,5.0,0.0207754442649434,2007-04-01
5,2007,27.013,25.173,1.862,0.35704,343.99,0,26.553,26.147,26.198,29.083,28.852,28.427,29.143,28.251,27.636,27.156,26.598,26.171,25.051,24.591,24.294,23.677,22.782,23.159,22.787,23.334,23.897,24.049,24.204,24.843,1.8929,1.9766,2.2544,2.4876,2.41,2.1827,2.4335,2.2166,2.0829,1.8849,1.6346,1.6832,0.36094,0.35022,0.32402,0.25329,0.24324,0.26171,0.2477,0.27897,0.30444,0.3193,0.34246,0.36109,454.07,527.69,543.37,161.52,239.74,144.26,127.15,129.82,120.66,111.16,94.03,349.06,,,,40.0,22.0,5.0,0.0297899838449111,2007-05-01
6,2007,26.987,24.063,1.899,0.33866,99.229,0,27.013,26.553,26.147,26.198,29.083,28.852,28.427,29.143,28.251,27.636,27.156,26.598,25.173,25.051,24.591,24.294,23.677,22.782,23.159,22.787,23.334,23.897,24.049,24.204,1.862,1.8929,1.9766,2.2544,2.4876,2.41,2.1827,2.4335,2.2166,2.0829,1.8849,1.6346,0.35704,0.36094,0.35022,0.32402,0.25329,0.24324,0.26171,0.2477,0.27897,0.30444,0.3193,0.34246,343.99,454.07,527.69,543.37,161.52,239.74,144.26,127.15,129.82,120.66,111.16,94.03,,,,41.0,22.0,5.0,0.0472051696284329,2007-06-01
7,2007,27.018,24.284,1.7553,0.32876,100.54,0,26.987,27.013,26.553,26.147,26.198,29.083,28.852,28.427,29.143,28.251,27.636,27.156,24.063,25.173,25.051,24.591,24.294,23.677,22.782,23.159,22.787,23.334,23.897,24.049,1.899,1.862,1.8929,1.9766,2.2544,2.4876,2.41,2.1827,2.4335,2.2166,2.0829,1.8849,0.33866,0.35704,0.36094,0.35022,0.32402,0.25329,0.24324,0.26171,0.2477,0.27897,0.30444,0.3193,99.229,343.99,454.07,527.69,543.37,161.52,239.74,144.26,127.15,129.82,120.66,111.16,,,,42.0,22.0,5.0,0.0916962843295638,2007-07-01
8,2007,27.659,23.804,2.0088,0.31036,57.046,0,27.018,26.987,27.013,26.553,26.147,26.198,29.083,28.852,28.427,29.143,28.251,27.636,24.284,24.063,25.173,25.051,24.591,24.294,23.677,22.782,23.159,22.787,23.334,23.897,1.7553,1.899,1.862,1.8929,1.9766,2.2544,2.4876,2.41,2.1827,2.4335,2.2166,2.0829,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,0.25329,0.24324,0.26171,0.2477,0.27897,0.30444,100.54,99.229,343.99,454.07,527.69,543.37,161.52,239.74,144.26,127.15,129.82,120.66,,,,43.0,22.0,5.0,0.1600969305331179,2007-08-01
9,2007,28.445,23.273,2.2834,0.273,74.676,0,27.659,27.018,26.987,27.013,26.553,26.147,26.198,29.083,28.852,28.427,29.143,28.251,23.804,24.284,24.063,25.173,25.051,24.591,24.294,23.677,22.782,23.159,22.787,23.334,2.0088,1.7553,1.899,1.862,1.8929,1.9766,2.2544,2.4876,2.41,2.1827,2.4335,2.2166,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,0.25329,0.24324,0.26171,0.2477,0.27897,57.046,100.54,99.229,343.99,454.07,527.69,543.37,161.52,239.74,144.26,127.15,129.82,,,,44.0,22.0,5.0,0.1532794830371567,2007-09-01
10,2007,28.267,23.133,2.4597,0.26473,179.94,0,28.445,27.659,27.018,26.987,27.013,26.553,26.147,26.198,29.083,28.852,28.427,29.143,23.273,23.804,24.284,24.063,25.173,25.051,24.591,24.294,23.677,22.782,23.159,22.787,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,2.2544,2.4876,2.41,2.1827,2.4335,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,0.25329,0.24324,0.26171,0.2477,74.676,57.046,100.54,99.229,343.99,454.07,527.69,543.37,161.52,239.74,144.26,127.15,,,,45.0,22.0,5.0,0.4945718901453958,2007-10-01
11,2007,29.365,22.592,2.5323,0.23333,93.777,0,28.267,28.445,27.659,27.018,26.987,27.013,26.553,26.147,26.198,29.083,28.852,28.427,23.133,23.273,23.804,24.284,24.063,25.173,25.051,24.591,24.294,23.677,22.782,23.159,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,2.2544,2.4876,2.41,2.1827,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,0.25329,0.24324,0.26171,179.94,74.676,57.046,100.54,99.229,343.99,454.07,527.69,543.37,161.52,239.74,144.26,,,,46.0,22.0,5.0,0.4311147011308562,2007-11-01
12,2007,27.158,23.777,1.9742,0.29272,332.69,0,29.365,28.267,28.445,27.659,27.018,26.987,27.013,26.553,26.147,26.198,29.083,28.852,22.592,23.133,23.273,23.804,24.284,24.063,25.173,25.051,24.591,24.294,23.677,22.782,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,2.2544,2.4876,2.41,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,0.25329,0.24324,93.777,179.94,74.676,57.046,100.54,99.229,343.99,454.07,527.69,543.37,161.52,239.74,,,,47.0,22.0,5.0,0.1988045234248788,2007-12-01
1,2008,26.094,24.035,2.026,0.33843,430.86,0,27.158,29.365,28.267,28.445,27.659,27.018,26.987,27.013,26.553,26.147,26.198,29.083,23.777,22.592,23.133,23.273,23.804,24.284,24.063,25.173,25.051,24.591,24.294,23.677,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,2.2544,2.4876,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,0.25329,332.69,93.777,179.94,74.676,57.046,100.54,99.229,343.99,454.07,527.69,543.37,161.52,,,,48.0,23.0,5.0,0.1108239095315024,2008-01-01
2,2008,25.983,24.393,2.0207,0.35868,418.01,0,26.094,27.158,29.365,28.267,28.445,27.659,27.018,26.987,27.013,26.553,26.147,26.198,24.035,23.777,22.592,23.133,23.273,23.804,24.284,24.063,25.173,25.051,24.591,24.294,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,2.2544,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,0.32402,430.86,332.69,93.777,179.94,74.676,57.046,100.54,99.229,343.99,454.07,527.69,543.37,,,,49.0,23.0,5.0,0.0427140549273021,2008-02-01
3,2008,25.654,24.153,1.6453,0.36349,515.63,0,25.983,26.094,27.158,29.365,28.267,28.445,27.659,27.018,26.987,27.013,26.553,26.147,24.393,24.035,23.777,22.592,23.133,23.273,23.804,24.284,24.063,25.173,25.051,24.591,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,1.9766,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,0.35022,418.01,430.86,332.69,93.777,179.94,74.676,57.046,100.54,99.229,343.99,454.07,527.69,,,,50.0,23.0,5.0,0.0618416801292407,2008-03-01
4,2008,25.948,24.565,1.6736,0.36447,477.05,0,25.654,25.983,26.094,27.158,29.365,28.267,28.445,27.659,27.018,26.987,27.013,26.553,24.153,24.393,24.035,23.777,22.592,23.133,23.273,23.804,24.284,24.063,25.173,25.051,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,1.8929,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,0.36094,515.63,418.01,430.86,332.69,93.777,179.94,74.676,57.046,100.54,99.229,343.99,454.07,,,,51.0,23.0,5.0,0.0990630048465266,2008-04-01
5,2008,26.187,24.637,1.7208,0.36043,307.1,0,25.948,25.654,25.983,26.094,27.158,29.365,28.267,28.445,27.659,27.018,26.987,27.013,24.565,24.153,24.393,24.035,23.777,22.592,23.133,23.273,23.804,24.284,24.063,25.173,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,1.862,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,0.35704,477.05,515.63,418.01,430.86,332.69,93.777,179.94,74.676,57.046,100.54,99.229,343.99,,,,52.0,23.0,5.0,0.0545395799676898,2008-05-01
6,2008,26.362,24.078,1.6947,0.3494,175.52,0,26.187,25.948,25.654,25.983,26.094,27.158,29.365,28.267,28.445,27.659,27.018,26.987,24.637,24.565,24.153,24.393,24.035,23.777,22.592,23.133,23.273,23.804,24.284,24.063,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,1.899,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,0.33866,307.1,477.05,515.63,418.01,430.86,332.69,93.777,179.94,74.676,57.046,100.54,99.229,,,,53.0,23.0,5.0,0.1098869143780291,2008-06-01
7,2008,26.96,23.436,1.8285,0.31622,68.148,0,26.362,26.187,25.948,25.654,25.983,26.094,27.158,29.365,28.267,28.445,27.659,27.018,24.078,24.637,24.565,24.153,24.393,24.035,23.777,22.592,23.133,23.273,23.804,24.284,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,1.7553,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,0.32876,175.52,307.1,477.05,515.63,418.01,430.86,332.69,93.777,179.94,74.676,57.046,100.54,,,,54.0,23.0,5.0,0.1177382875605815,2008-07-01
8,2008,27.453,23.642,1.9141,0.31484,82.902,0,26.96,26.362,26.187,25.948,25.654,25.983,26.094,27.158,29.365,28.267,28.445,27.659,23.436,24.078,24.637,24.565,24.153,24.393,24.035,23.777,22.592,23.133,23.273,23.804,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,2.0088,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,0.31036,68.148,175.52,307.1,477.05,515.63,418.01,430.86,332.69,93.777,179.94,74.676,57.046,,,,55.0,23.0,5.0,0.3666558966074313,2008-08-01
9,2008,28.16,23.652,2.2509,0.29726,115.79,0,27.453,26.96,26.362,26.187,25.948,25.654,25.983,26.094,27.158,29.365,28.267,28.445,23.642,23.436,24.078,24.637,24.565,24.153,24.393,24.035,23.777,22.592,23.133,23.273,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,2.2834,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,0.273,82.902,68.148,175.52,307.1,477.05,515.63,418.01,430.86,332.69,93.777,179.94,74.676,,,,56.0,23.0,5.0,0.5310177705977382,2008-09-01
10,2008,28.803,22.762,2.4395,0.26737,172.65,0,28.16,27.453,26.96,26.362,26.187,25.948,25.654,25.983,26.094,27.158,29.365,28.267,23.652,23.642,23.436,24.078,24.637,24.565,24.153,24.393,24.035,23.777,22.592,23.133,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,2.4597,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,0.26473,115.79,82.902,68.148,175.52,307.1,477.05,515.63,418.01,430.86,332.69,93.777,179.94,,,,57.0,23.0,5.0,0.5120840064620357,2008-10-01
11,2008,29.429,22.365,2.4118,0.2335,88.508,0,28.803,28.16,27.453,26.96,26.362,26.187,25.948,25.654,25.983,26.094,27.158,29.365,22.762,23.652,23.642,23.436,24.078,24.637,24.565,24.153,24.393,24.035,23.777,22.592,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,2.5323,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,0.23333,172.65,115.79,82.902,68.148,175.52,307.1,477.05,515.63,418.01,430.86,332.69,93.777,,,,58.0,23.0,5.0,0.2895315024232633,2008-11-01
12,2008,27.397,23.957,1.9059,0.31581,206.52,0,29.429,28.803,28.16,27.453,26.96,26.362,26.187,25.948,25.654,25.983,26.094,27.158,22.365,22.762,23.652,23.642,23.436,24.078,24.637,24.565,24.153,24.393,24.035,23.777,2.4118,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,1.9742,0.2335,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,0.29272,88.508,172.65,115.79,82.902,68.148,175.52,307.1,477.05,515.63,418.01,430.86,332.69,,,,59.0,23.0,5.0,0.2300484652665589,2008-12-01
1,2009,26.739,24.073,2.0401,0.3312,302.09,0,27.397,29.429,28.803,28.16,27.453,26.96,26.362,26.187,25.948,25.654,25.983,26.094,23.957,22.365,22.762,23.652,23.642,23.436,24.078,24.637,24.565,24.153,24.393,24.035,1.9059,2.4118,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,2.026,0.31581,0.2335,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,0.33843,206.52,88.508,172.65,115.79,82.902,68.148,175.52,307.1,477.05,515.63,418.01,430.86,,,,60.0,24.0,5.0,0.1063651050080775,2009-01-01
2,2009,26.046,24.323,1.9628,0.35603,431.57,0,26.739,27.397,29.429,28.803,28.16,27.453,26.96,26.362,26.187,25.948,25.654,25.983,24.073,23.957,22.365,22.762,23.652,23.642,23.436,24.078,24.637,24.565,24.153,24.393,2.0401,1.9059,2.4118,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,2.0207,0.3312,0.31581,0.2335,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,0.35868,302.09,206.52,88.508,172.65,115.79,82.902,68.148,175.52,307.1,477.05,515.63,418.01,,,,61.0,24.0,5.0,0.0564135702746365,2009-02-01
3,2009,26.098,24.605,1.8023,0.36148,569.9,0,26.046,26.739,27.397,29.429,28.803,28.16,27.453,26.96,26.362,26.187,25.948,25.654,24.323,24.073,23.957,22.365,22.762,23.652,23.642,23.436,24.078,24.637,24.565,24.153,1.9628,2.0401,1.9059,2.4118,2.4395,2.2509,1.9141,1.8285,1.6947,1.7208,1.6736,1.6453,0.35603,0.3312,0.31581,0.2335,0.26737,0.29726,0.31484,0.31622,0.3494,0.36043,0.36447,0.36349,431.57,302.09,206.52,88.508,172.65,115.79,82.902,68.148,175.52,307.1,477.05,515.63,,,,62.0,24.0,5.0,0.0401615508885298,2009-03-01
